NOMBREADJUDICADO,total_pagado,num_contratos,pago_promedio,num_regiones,num_servicios,años_activo,CLUSTER
CAUSE SPA,20542957680,33,111043014.48648648,3,4,9,3
CAUSSE INGENIEROS CIVILES ASOCIADOS S.A.,891290382,1,127327197.42857143,1,1,3,0
CAV. CONSTRUCCIONES LTDA,41912007142,58,76065348.71506353,4,6,15,3
CBARRIOS CONSTRUCTORA SPA,23591639478,24,113969272.8405797,4,3,11,3
CCP INGENIERIA S.A.,2841757354,14,30231461.21276596,8,3,13,3
CEBALLOS PEREZ ALEJANDRO,54787267,1,18262422.333333332,1,1,1,0
CECILIA VALERIA GASIC BOJ,48000000,1,16000000.0,1,1,2,0
CENTRO DE ESTUDIOS E INVESTIGACIONES JURIDICAS,110994459,3,11099445.9,3,1,1,0
CESAR  VELIZ TAPIA ARQUITECTURA Y CONSTRUC. EIRL,317940300,3,24456946.153846152,3,1,3,0
CESAR EMILIO JARA ZAPATA,822473219,6,37385146.31818182,1,1,2,0
CFC INGENIERIA LIMITADA,1080734079,10,27711130.230769232,4,4,9,3
CHARLES JOSEPH GARCEAU SAAVEDRA,14431630,1,4810543.333333333,1,1,1,0
CHILECTRA S.A.,705747348,2,176436837.0,1,1,3,0
CHILQUINTA DISTRIBUCIÓN S.A.,16065000,1,16065000.0,1,1,1,0
CHRISTIAN RAMIREZ QUILODRAN,34875000,1,11625000.0,1,1,1,0
CHRISTIAN RAUL GONZALEZ TORRES,1383210610,7,43225331.5625,3,4,4,0
CHRISTOF RIEGEL DREXEL DIS Y COM PRODUC ELEC EIRL,195618077,1,65206025.666666664,1,1,1,0
CIA.GRAL.DE CONSTRUCCIONES CGC LTDA.,21520049,1,21520049.0,1,1,1,0
CIMPROF SA,1335015398,4,89001026.53333333,1,3,3,0
CINGEL LTDA.,199612076,2,99806038.0,1,1,1,0
CIRCULAR Q CONSTRUCCIONES LTDA.,3558754103,19,41380861.6627907,3,3,5,0
CIS ASOC. CONSULT. EN TRANSPORTE S.A.,1451424534,12,24190408.9,8,1,4,3
CIS ASOC. CONSULT. EN TRANSPORTES S.A.,7486243589,39,35991555.71634615,13,4,11,3
CLARO INFRAESTRUCTURA 171 S.A.,40108154,1,40108154.0,1,1,1,0
CLARO VICUNA VALENZUELA EN LIQUIDACION S.A.,100793779651,26,345184176.8869863,5,7,5,3
CLARO VICUNA VALENZUELA S.A.,137597330638,55,238470243.74003467,5,5,7,3
"CLARO,VICUNA,VALENZUELA S.A.",110433270521,46,335663436.2340425,7,4,5,3
CLAS INGENIERIA ELECTRICA E  INVERSIONES S.A.,885251740,2,88525174.0,2,1,2,0
CLAUDIA FERNANDEZ CONTRERAS,7915822332,46,43020773.54347826,2,10,13,3
CLAUDIO AGUERO BRAVO,940957722,4,33605632.928571425,2,2,3,0
CLAUDIO FERNANDO ALCAZAR GONZALEZ,2616810,1,1308405.0,1,1,1,0
CLAUDIO I. LEYTON CANALES,7812212672,27,42001143.39784946,2,1,10,3
CLAUDIO MARCELO PENA JAQUE,300069757,3,30006975.7,1,1,3,0
CLAUDIO NAVARRETE ARQUITECTOS Y CIA. LTDA.,138048610,1,46016203.333333336,1,1,1,0
CLAUDIO TORRES ROSATI,715814800,4,32537036.363636363,2,1,3,0
CMC INGENIERIA Y CONSTRUCCION SPA,1780327177,11,41402957.60465116,3,4,7,3
COASEFOR SPA,31028179,1,31028179.0,1,1,1,0
COESCO CHILE LIMITADA,616450977,1,61645097.7,1,1,2,0
COK INGENIERIA Y CONSTRUCCION LIMITADA,9719087508,37,56506322.72093023,3,5,10,3
COMERCIAL ADALIO MUNOZ E.I.R.L.,6337643,2,3168821.5,1,1,1,0
COMERCIAL DECOAYSEN LTDA.,12903551,2,3225887.75,1,1,1,0
COMERCIAL E.O. LTDA,75679156,1,75679156.0,1,1,1,0
COMERCIAL EZ-DOCK (CHILE) LTDA.,20160456,1,20160456.0,1,1,1,0
